track_id,tipo_objeto,confianza,flujo
1553,car,0.14029817283153534,izquierda
1558,car,0.24638774991035461,izquierda
1568,car,0.2903274893760681,izquierda
1577,car,0.15982604026794434,derecha
1580,car,0.3441388010978699,derecha
1584,person,0.2338157594203949,derecha
1596,car,0.13415679335594177,derecha
1599,person,0.12321631610393524,derecha
1601,car,0.2331472933292389,izquierda
1602,car,0.10728845745325089,derecha
1607,person,0.3224550485610962,desconocido
1609,car,0.7857000231742859,izquierda
1612,car,0.1926068216562271,izquierda
1615,car,0.4409360885620117,izquierda
1616,car,0.12186536192893982,izquierda
1617,car,0.10524604469537735,izquierda
1618,car,0.26686373353004456,derecha
1627,car,0.16589482128620148,izquierda
1629,car,0.4371001720428467,derecha
1646,car,0.16476409137248993,izquierda
1650,car,0.25485727190971375,derecha
1651,car,0.13831986486911774,izquierda
1653,car,0.10373497009277344,derecha
1659,car,0.2507975399494171,izquierda
1664,car,0.48487842082977295,derecha
1667,car,0.18484552204608917,derecha
1673,car,0.24084590375423431,izquierda
1675,car,0.3837817907333374,izquierda
1698,car,0.6377694010734558,derecha
1701,car,0.17551131546497345,derecha
1702,car,0.49528971314430237,izquierda
1704,car,0.12465469539165497,derecha
1710,car,0.5395433902740479,izquierda
1713,car,0.24964942038059235,izquierda
1720,car,0.669204592704773,izquierda
1737,car,0.4283851981163025,izquierda
1749,car,0.1461256891489029,izquierda
1757,car,0.21553385257720947,izquierda
1760,person,0.27267515659332275,derecha
1762,car,0.2169439047574997,izquierda
1763,car,0.3871704339981079,estatica
1773,car,0.1830640435218811,izquierda
1774,car,0.40262100100517273,derecha
1777,car,0.29021981358528137,derecha
1780,car,0.42202258110046387,izquierda
1783,car,0.11281220614910126,derecha
1790,car,0.5243040323257446,izquierda
1795,car,0.32090669870376587,izquierda
1797,car,0.2125403881072998,izquierda
1799,car,0.19053992629051208,izquierda
1803,car,0.1802310347557068,izquierda
1811,car,0.23266631364822388,izquierda
1812,car,0.36038392782211304,izquierda
1814,car,0.1296055018901825,izquierda
1824,person,0.22194555401802063,derecha
1835,car,0.48230886459350586,izquierda
1837,car,0.6791917681694031,izquierda
1843,car,0.3213258385658264,derecha
1855,car,0.15365083515644073,estatica
1859,car,0.5488784909248352,desconocido
1860,car,0.2162369340658188,izquierda
1861,car,0.13579930365085602,izquierda
1864,car,0.3882492184638977,derecha
1870,car,0.12639081478118896,derecha
1890,car,0.6732703447341919,izquierda
1891,car,0.33387491106987,estatica
1901,car,0.47915929555892944,izquierda
1905,car,0.3098347783088684,derecha
1912,car,0.5821623802185059,izquierda
1918,car,0.35617390275001526,izquierda
1920,car,0.5357569456100464,derecha
1922,car,0.5155758857727051,izquierda
